path,filename,title,type,last_modified,size_bytes,word_count,line_count,total_links,internal_links_count,external_links_count,broken_links_count,internal_links,external_links,broken_links,file_references
docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md,ADAPTIVE_TRADE_MANAGER_ROADMAP.md,🛡️ ADAPTIVE TRADE MANAGER - Detaylı Yol Haritası,status,2025-06-30T16:32:07.472003,19805,2361,671,4,0,4,0,,"(http://localhost:8002/api/v1/adaptive-trade-manager/status"") | (http://localhost:8002/api/v1/adaptive-trade-manager/optimization-suggestions"") | (http://localhost:8002/api/v1/adaptive-trade-manager/risk-assessment"") | (http://localhost:8002/api/v1/adaptive-trade-manager/calculate-optimal-size"")",,backend/modules/adaptive_trade_manager/models.py | backend/modules/adaptive_trade_manager/optimization_engine.py | backend/modules/adaptive_trade_manager/risk_calculator.py | backend/api/v1/adaptive_trade_manager.py
docs\ADVANCED_SECURITY_ARCHITECTURE.md,ADVANCED_SECURITY_ARCHITECTURE.md,Advanced Security Architecture for AI Algorithmic Trading Platform,api,2025-07-01T08:03:20.597306,18507,1718,536,0,0,0,0,,,,
docs\AI_ALGO_TRADE_COMPETITOR_ANALYSIS_2025.md,AI_ALGO_TRADE_COMPETITOR_ANALYSIS_2025.md,🏆 AI ALGO TRADE - COMPETITOR ANALYSIS 2025,api,2025-06-30T22:00:12.376747,10376,1463,387,0,0,0,0,,,,
docs\AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md,AI_ALGO_TRADE_COMPREHENSIVE_ANALYSIS_2025.md,📊 AI ALGO TRADE - COMPREHENSIVE DOCUMENTATION ANALYSIS REPORT,status,2025-06-30T21:46:55.302176,11875,1581,341,0,0,0,0,,,,
docs\AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md,AI_ALGO_TRADE_NEXT_GEN_ROADMAP_2025.md,🚀 AI ALGO TRADE - NEXT GENERATION ROADMAP 2025,tech-spec,2025-06-30T21:38:46.692574,12308,1551,495,0,0,0,0,,,,
docs\AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md,AI_ALGO_TRADE_ULTIMATE_PERFECTION_ROADMAP_2025.md,🚀 AI ALGO TRADE - ULTIMATE PERFECTION ROADMAP 2025,tech-spec,2025-06-30T21:46:55.302176,15329,1756,538,0,0,0,0,,,,
docs\architecture\MODULAR_INTEGRATION_ROADMAP.md,MODULAR_INTEGRATION_ROADMAP.md,🚀 AI Algo Trade - Modüler Entegrasyon Roadmap'i,tech-spec,2025-06-27T21:38:35.945536,11115,1229,286,0,0,0,0,,,,
docs\architecture\SYSTEM_ARCHITECTURE_UPDATED.md,SYSTEM_ARCHITECTURE_UPDATED.md,🏗️ **AI ALGO TRADE - SYSTEM ARCHITECTURE UPDATE**,tech-spec,2025-06-30T16:34:33.121347,10468,1114,359,0,0,0,0,,,,
docs\architecture\UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md,UNIFIED_TRADING_ARCHITECTURE_ROADMAP.md,🏗️ **UNIFIED TRADING ARCHITECTURE - ENHANCED ROADMAP**,tech-spec,2025-06-30T16:33:34.535448,14750,1605,490,0,0,0,0,,,,backend/core/enhanced_event_bus.py | backend/core/unified_trading_engine.py | backend/core/shared_data_service.py
docs\dashboard-screenshots.md,dashboard-screenshots.md,📊 Quantum Dashboard Visual Documentation,user-guide,2025-06-26T13:50:02.606315,11970,981,285,6,0,2,4,,(http://localhost:3000/quantum) | (http://localhost:3000/quantum`),Quantum Dashboard Overview(./screenshots/quantum-dashboard-overview.png) | Influence Analytics(./screenshots/influence-analytics.png) | 3D Network Graph(./screenshots/network-visualization.png) | AI Insights(./screenshots/ai-insights.png),
docs\diagrams\adaptive-trade-manager-architecture.md,adaptive-trade-manager-architecture.md,Adaptive Trade Manager Architecture,tech-spec,2025-06-27T12:18:44.151211,1147,132,45,0,0,0,0,,,,
docs\diagrams\adaptive-trade-manager-flow.md,adaptive-trade-manager-flow.md,Adaptive Trade Manager Flow,diagram,2025-06-27T12:18:55.088771,1375,156,40,0,0,0,0,,,,
docs\diagrams\data-flow-diagram.md,data-flow-diagram.md,🔄 Veri Akış Diyagramı,api,2025-06-27T10:29:52.873640,2783,310,62,0,0,0,0,,,,
docs\diagrams\database-schema.md,database-schema.md,🗄️ Veritabanı Şeması,tech-spec,2025-06-27T10:36:12.835908,2898,272,74,0,0,0,0,,,,
docs\diagrams\frontend-component-diagram.md,frontend-component-diagram.md,⚛️ Frontend Component Architecture,tech-spec,2025-06-27T10:48:25.985780,2150,183,65,0,0,0,0,,,,
docs\diagrams\god-mode-architecture.md,god-mode-architecture.md,🔱 God Mode - System Architecture,api,2025-06-27T10:30:18.019778,3012,294,82,0,0,0,0,,,,
docs\diagrams\god-mode-completion-summary.md,god-mode-completion-summary.md,🏆 God Mode - Tamamlanma Özeti,api,2025-06-27T11:05:30.658499,3077,239,63,0,0,0,0,,,,
docs\diagrams\god-mode-integration-plan.md,god-mode-integration-plan.md,⚡ God Mode - Entegrasyon Planı,api,2025-06-27T11:05:30.658499,2364,233,72,0,0,0,0,,,,
docs\diagrams\market-narrator-architecture.md,market-narrator-architecture.md,market-narrator-architecture,tech-spec,2025-06-27T13:11:34.386232,1,0,1,0,0,0,0,,,,
docs\diagrams\market-narrator-flow.md,market-narrator-flow.md,Market Narrator Flow,api,2025-06-27T13:11:47.653582,1236,114,33,0,0,0,0,,,,
docs\diagrams\README.md,README.md,📊 AI Algo Trade - Diagrams & Visuals,tech-spec,2025-06-27T11:05:30.658499,4325,471,101,17,17,0,0,Devrimsel Özellikler - Genel Bakış(./revolutionary-features-overview.md) | Proje Özellik Matrisi(./ultimate-feature-matrix.md) | Genel Sistem Mimarisi(./system-architecture.md) | God Mode Mimarisi(./god-mode-architecture.md) | Shadow Mode Mimarisi(./shadow-mode-architecture.md) | Frontend Bileşen Mimarisi(./frontend-component-diagram.md) | Veritabanı Şeması(./database-schema.md) | Veri Akış Diyagramı(./data-flow-diagram.md) | Whale Tespit Süreci(./whale-detection-process.md) | God Mode Entegrasyon Planı(./god-mode-integration-plan.md) | Shadow Mode Entegrasyon Planı(./shadow-mode-integration-plan.md) | God Mode Tamamlanma Özeti(./god-mode-completion-summary.md) | Genel Sistem Mimarisi(./system-architecture.md) | God Mode Mimarisi(./god-mode-architecture.md) | Shadow Mode Mimarisi(./shadow-mode-architecture.md) | Veri Akış Diyagramı(./data-flow-diagram.md) | Whale Tespit Süreci(./whale-detection-process.md),,,.md | system-architecture.md | shadow-mode-architecture.md | god-mode-architecture.md | data-flow-diagram.md | shadow-mode-workflow.md | whale-detection-process.md | stealth-execution-flow.md | institutional-tracking-flow.md | shadow-mode-ui-mockup.md | quantum-dashboard-mockup.md | mobile-responsive-design.md | trading-strategy-diagram.md | risk-management-flow.md | performance-metrics-chart.md | api-endpoint-structure.md | database-schema.md | component-relationship.md
docs\diagrams\revolutionary-features-overview.md,revolutionary-features-overview.md,✨ Devrimsel Özellikler - Genel Bakış,diagram,2025-06-27T11:05:30.658499,3444,347,89,0,0,0,0,,,,
docs\diagrams\shadow-mode-architecture.md,shadow-mode-architecture.md,🥷 Shadow Mode - System Architecture,api,2025-06-27T10:48:25.985780,3382,364,125,0,0,0,0,,,,
docs\diagrams\shadow-mode-integration-plan.md,shadow-mode-integration-plan.md,🥷 Shadow Mode - Entegrasyon Planı,tech-spec,2025-06-27T10:59:04.867846,2380,226,71,0,0,0,0,,,,
