file,line,issue,severity
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","7","Line too long (156 characters)","info"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","653","Line too long (126 characters)","info"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","671","Trailing whitespace","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","68","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","308","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","320","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","333","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","349","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","363","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","395","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","422","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","432","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","442","Heading level jumps from H1 to H4","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","474","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","496","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","515","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","586","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","596","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","620","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","630","Heading level jumps from H1 to H3","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","461","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","479","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","501","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","522","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","461","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","479","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","501","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","522","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","461","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","479","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","501","Duplicate heading: ""Response Example""","warning"
"docs\ADAPTIVE_TRADE_MANAGER_ROADMAP.md","522","Duplicate heading: ""Response Example""","warning"
